canny_threshold1,canny_threshold2,min_line_length,max_line_gap,hough_threshold,false_positives,true_positives,precision,recall,f1_score
212,215,375,10,50,6,87,0.9354838709677419,0.8787878787878788,0.90625
212,210,353,10,50,10,93,0.9029126213592233,0.9393939393939394,0.9207920792079209
212,210,349,10,50,12,93,0.8857142857142857,0.9393939393939394,0.9117647058823529
211,210,348,10,50,12,92,0.8846153846153846,0.9292929292929293,0.9064039408866995
211,211,351,9,50,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
210,212,349,9,50,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
212,208,353,10,50,13,94,0.8785046728971962,0.9494949494949495,0.912621359223301
211,209,352,10,50,9,93,0.9117647058823529,0.9393939393939394,0.9253731343283583
211,209,346,10,50,11,93,0.8942307692307693,0.9393939393939394,0.9162561576354681
210,209,344,9,50,8,91,0.9191919191919192,0.9191919191919192,0.9191919191919192
209,210,340,9,50,8,93,0.9207920792079208,0.9393939393939394,0.9300000000000002
207,212,330,9,50,14,93,0.8691588785046729,0.9393939393939394,0.9029126213592232
209,210,337,9,50,8,93,0.9207920792079208,0.9393939393939394,0.9300000000000002
208,212,328,9,50,15,93,0.8611111111111112,0.9393939393939394,0.8985507246376813
209,208,339,9,50,13,93,0.8773584905660378,0.9393939393939394,0.9073170731707318
211,206,342,9,50,12,91,0.883495145631068,0.9191919191919192,0.9009900990099011
213,205,349,10,50,14,92,0.8679245283018868,0.9292929292929293,0.8975609756097561
204,223,356,9,50,8,91,0.9191919191919192,0.9191919191919192,0.9191919191919192
202,226,355,9,50,10,91,0.900990099009901,0.9191919191919192,0.91
202,225,355,9,50,10,89,0.898989898989899,0.898989898989899,0.898989898989899
216,210,356,10,50,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
216,209,355,10,50,12,91,0.883495145631068,0.9191919191919192,0.9009900990099011
209,202,362,10,50,10,91,0.900990099009901,0.9191919191919192,0.91
213,216,362,10,50,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
